 PARM = EPCP;SLAT;SLON;IGPT;JGPT                                                 

    STN    YYMMDD/HHMM      EPCP     SLAT     SLON     IGPT     JGPT
   KCON    060113/0000      9.30    43.20   -71.50   154.25    76.47
   KCOQ    060113/0000      0.38    46.70   -92.50   110.08    82.47
   KCOS    060113/0000      0.46    38.82  -104.72    83.65    60.46
   KCPK    060113/0000      0.87    36.66   -76.32   146.77    56.51
   KCPR    060113/0000      1.27    42.92  -106.47    80.80    72.41
   KCPW    060113/0000      0.32    37.45  -106.80    78.76    56.98
   KCQM    060113/0000      1.40    47.83   -92.68   109.65    85.83
   KCQT    060113/0000      0.01    34.02  -118.28    51.78    50.86
   KCQV    060113/0000      1.85    48.55  -117.88    59.69    91.78
   KCRE    060113/0000      0.12    33.82   -78.72   142.38    47.97
   KCRG    060113/0000      0.10    30.33   -81.52   136.93    37.69
   KCRQ    060113/0000      0.02    33.13  -117.28    53.64    48.05
   KCRS    060113/0000      0.02    32.03   -96.39   101.75    40.80
   KCRW    060113/0000      0.02    38.37   -81.60   134.54    59.89
   KCSG    060113/0000      0.10    32.52   -84.93   128.42    43.00
   KCSQ    060113/0000      0.40    41.02   -94.37   106.36    65.94
   KCTB    060113/0000      1.56    48.60  -112.37    70.55    90.30
   KCTY    060113/0000      0.22    29.61   -83.10   133.37    35.37
   KCTZ    060113/0000      0.20    34.98   -78.36   142.81    51.27
   KCUB    060113/0000      0.03    33.97   -80.99   137.14    47.80
   KCUT    060113/0000      0.18    43.73  -103.62    86.96    74.30
   KCVO    060113/0000     12.68    44.50  -123.28    46.65    82.07
   KCVX    060113/0000      0.17    45.30   -85.27   125.04    79.02
   KCWA    060113/0000      0.05    44.78   -89.67   116.04    77.00
   KCWF    060113/0000      0.00    30.22   -93.15   109.39    35.83
   KCWI    060113/0000      0.01    41.83   -90.33   114.97    68.42
   KCXO    060113/0000      0.00    30.35   -95.41   104.03    36.16
   KCXY    060113/0000      1.14    40.22   -76.85   144.25    66.29
   KCYS    060113/0000      1.08    41.15  -104.82    83.91    67.07
   KCZZ    060113/0000      0.01    32.61  -116.46    55.29    46.32
   KD07    060113/0000      0.00    45.03  -102.02    90.50    77.89
   KDAA    060113/0000      0.46    38.72   -77.18   144.10    61.99
   KDAB    060113/0000      0.19    29.18   -81.05   138.36    34.66
   KDAL    060113/0000      0.01    32.85   -96.85   100.71    43.07
   KDAN    060113/0000      0.09    36.57   -79.33   140.10    55.41
   KDAY    060113/0000      0.00    39.90   -84.20   128.48    63.68
   KDBQ    060113/0000      0.04    42.40   -90.70   114.13    70.03
   KDCA    060113/0000      0.54    38.85   -77.03   144.38    62.39
   KDDC    060113/0000      0.01    37.77   -99.97    93.97    56.94
   KDDH    060113/0000      7.13    42.89   -73.25   150.76    74.98
   KDEH    060113/0000      0.24    43.28   -91.73   111.88    72.51
   KDEN    060113/0000      0.78    39.87  -104.67    83.97    63.41
   KDEQ    060113/0000      0.07    34.04   -94.40   106.38    46.34
   KDET    060113/0000      0.05    42.42   -83.02   130.40    71.07
   KDEW    060113/0000      1.79    47.97  -117.41    60.32    89.91
   KDFI    060113/0000      0.01    41.34   -84.43   127.66    67.73
   KDFW    060113/0000      0.00    32.90   -97.03   100.29    43.22
   KDGW    060113/0000      0.96    42.78  -105.37    83.09    71.82
   KDHN    060113/0000      0.23    31.32   -85.45   127.45    39.61
