 PARM = EPCP;SLAT;SLON;IGPT;JGPT                                                 

    STN    YYMMDD/HHMM      EPCP     SLAT     SLON     IGPT     JGPT
   KPNS    060113/0000      0.13    30.47   -87.20   123.47    37.02
   KPOB    060113/0000      0.12    35.17   -79.02   141.25    51.61
   KPOE    060113/0000      0.02    31.05   -93.18   109.29    38.11
   KPOF    060113/0000      0.01    36.77   -90.32   115.49    54.12
   KPOU    060113/0000      5.46    41.63   -73.88   150.00    71.19
   KPPF    060113/0000      0.00    37.33   -95.52   103.84    55.51
   KPQL    060113/0000      0.03    30.47   -88.53   120.33    36.85
   KPQN    060113/0000      0.48    43.98   -96.32   102.24    74.47
   KPRB    060113/0000      0.03    35.67  -120.63    47.33    56.33
   KPRX    060113/0000      0.03    33.63   -95.45   103.96    45.20
   KPSC    060113/0000      1.29    46.27  -119.12    56.05    85.52
   KPSF    060113/0000      6.79    42.43   -73.30   150.86    73.65
   KPSK    060113/0000      0.05    37.13   -80.68   136.92    56.63
   KPTB    060113/0000      0.31    37.18   -77.52   143.91    57.60
   KPTK    060113/0000      0.05    42.67   -83.42   129.49    71.71
   KPTV    060113/0000      0.02    36.03  -119.07    50.98    56.68
   KPTW    060113/0000      2.11    40.23   -75.55   147.04    66.71
   KPUB    060113/0000      0.23    38.28  -104.52    83.98    58.91
   KPUC    060113/0000      1.56    39.62  -110.75    70.72    63.95
   KPUW    060113/0000      1.72    46.74  -117.11    60.32    86.20
   KPVD    060113/0000      8.24    41.73   -71.43   155.12    72.33
   KPVU    060113/0000      2.31    40.22  -111.72    68.83    65.89
   KPWC    060113/0000      0.51    46.72   -94.38   106.26    82.49
   KPWG    060113/0000      0.01    31.48   -97.32    99.55    39.31
   KPWT    060113/0000      6.99    47.48  -122.77    49.47    90.45
   KRAL    060113/0000      0.00    33.95  -117.45    53.63    50.35
   KRAP    060113/0000      0.08    44.05  -103.07    88.16    75.16
   KRBD    060113/0000      0.01    32.68   -96.87   100.65    42.60
   KRBG    060113/0000     13.39    43.23  -123.37    45.70    78.51
   KRBL    060113/0000      4.02    40.15  -122.25    46.25    69.38
   KRCA    060113/0000      0.08    44.15  -103.10    88.12    75.45
   KRDD    060113/0000      5.11    40.50  -122.30    46.34    70.38
   KRDG    060113/0000      1.83    40.38   -75.97   146.08    67.00
   KRDK    060113/0000      0.51    41.02   -95.27   104.42    65.94
   KRDM    060113/0000      5.94    44.27  -121.15    50.86    80.53
   KRDR    060113/0000      1.78    47.95   -97.40   100.19    86.19
   KRDU    060113/0000      0.14    35.87   -78.78   141.56    53.61
   KREO    060113/0000      0.70    42.59  -117.87    56.77    74.51
   KRGK    060113/0000      0.38    44.58   -92.48   110.23    76.25
   KRHI    060113/0000      0.04    45.63   -89.45   116.40    79.50
   KRHP    060113/0000      0.00    35.19   -83.86   130.30    50.57
   KRHV    060113/0000      0.16    37.33  -121.82    45.60    61.40
   KRIC    060113/0000      0.36    37.50   -77.33   144.22    58.54
   KRIL    060113/0000      1.79    39.53  -107.72    77.27    63.00
   KRIV    060113/0000      0.00    33.90  -117.25    54.06    50.14
   KRIW    060113/0000      1.89    43.05  -108.45    76.68    73.17
   KRKR    060113/0000      0.05    35.02   -94.62   105.87    49.06
   KRKS    060113/0000      2.91    41.60  -109.07    74.94    69.15
   KRMY    060113/0000      0.01    42.25   -84.96   126.33    70.25
   KRND    060113/0000      0.01    29.53   -98.28    97.17    34.00
   KRNH    060113/0000      0.29    45.16   -92.53   110.10    77.94
   KRNM    060113/0000      0.01    33.03  -116.91    54.45    47.63
   KRNO    060113/0000      0.85    39.50  -119.78    51.18    66.55
   KRNT    060113/0000      6.10    47.50  -122.22    50.57    90.28
   KROA    060113/0000      0.05    37.32   -79.97   138.44    57.33
   KROC    060113/0000      2.24    43.12   -77.67   141.43    74.29
   KROG    060113/0000      0.01    36.37   -94.10   107.03    52.82
   KROS    060113/0000      0.24    45.70   -92.95   109.21    79.51
   KROX    060113/0000      3.50    48.85   -95.70   103.61    88.85
   KRPD    060113/0000      0.18    45.43   -91.76   111.67    78.76
   KRQB    060113/0000      0.09    43.72   -85.50   124.89    74.39
   KRRL    060113/0000      0.05    45.18   -89.70   115.94    78.16
   KRRT    060113/0000      3.56    48.95   -95.33   104.35    89.15
   KRSL    060113/0000      0.05    38.87   -98.82    96.61    59.95
   KRST    060113/0000      0.44    43.92   -92.50   110.23    74.33
   KRSW    060113/0000      0.19    26.53   -81.75   137.40    27.26
   KRTN    060113/0000      0.02    36.75  -104.50    83.73    54.63
   KRUE    060113/0000      0.07    35.25   -93.10   109.32    49.73
   KRUQ    060113/0000      0.09    35.65   -80.51   137.74    52.56
   KRUT    060113/0000      7.70    43.53   -72.95   151.08    76.90
   KRWF    060113/0000      0.55    44.55   -95.08   104.83    76.11
   KRWI    060113/0000      0.29    35.85   -77.88   143.59    53.81
   KRWL    060113/0000      2.42    41.80  -107.20    78.98    69.34
   KRXE    060113/0000      1.61    43.83  -111.80    69.93    76.19
   KRZN    060113/0000      0.20    45.82   -92.37   110.39    79.88
   KRZZ    060113/0000      0.30    36.44   -77.71   143.76    55.49
   KSAC    060113/0000      0.66    38.52  -121.50    46.95    64.54
   KSAN    060113/0000      0.03    32.73  -117.17    53.72    46.91
   KSAT    060113/0000      0.01    29.53   -98.47    96.71    34.01
   KSAV    060113/0000      0.01    32.13   -81.20   137.18    42.69
   KSAW    060113/0000      0.06    46.35   -87.40   120.48    81.82
   KSAZ    060113/0000      0.36    46.39   -94.80   105.41    81.51
   KSBA    060113/0000      0.02    34.43  -119.83    48.48    52.61
   KSBM    060113/0000      0.01    43.77   -87.84   119.99    74.24
   KSBP    060113/0000      0.03    35.23  -120.63    47.10    55.13
   KSBY    060113/0000      1.23    38.33   -75.50   147.92    61.41
   KSCH    060113/0000      6.29    42.85   -73.95   149.31    74.63
   KSCK    060113/0000      0.32    37.90  -121.25    47.16    62.72
   KSDA    060113/0000      0.47    40.75   -95.42   104.09    65.17
   KSDB    060113/0000      0.00    34.75  -118.73    51.12    53.03
   KSDM    060113/0000      0.03    32.57  -116.98    54.08    46.41
   KSDY    060113/0000      0.19    47.72  -104.18    86.58    86.08
   KSEA    060113/0000      6.23    47.45  -122.30    50.38    90.17
   KSEG    060113/0000      1.48    40.81   -76.86   144.01    67.95
   KSFB    060113/0000      0.24    28.78   -81.25   138.00    33.52
   KSFD    060113/0000      0.02    43.39   -99.84    94.83    72.92
   KSFF    060113/0000      1.76    47.67  -117.33    60.33    89.00
   KSFO    060113/0000      0.21    37.62  -122.38    44.54    62.44
   KSFQ    060113/0000      0.71    36.68   -76.60   146.14    56.48
   KSFZ    060113/0000      8.41    41.92   -71.50   154.88    72.84
   KSGF    060113/0000      0.00    37.23   -93.38   108.62    55.25
   KSGJ    060113/0000      0.12    29.97   -81.33   137.48    36.75
   KSGS    060113/0000      0.42    44.85   -93.15   108.83    77.01
   KSGT    060113/0000      0.06    34.60   -91.57   112.84    47.99
   KSGU    060113/0000      0.02    37.10  -113.60    63.58    57.71
   KSHD    060113/0000      0.11    38.27   -78.85   140.60    60.27
   KSHL    060113/0000      0.72    43.22   -95.83   103.25    72.26
   KSHN    060113/0000      7.78    47.25  -123.15    48.58    89.94
   KSHR    060113/0000      0.30    44.76  -106.97    80.22    77.82
   KSHV    060113/0000      0.05    32.46   -93.82   107.75    41.98
   KSIY    060113/0000      8.72    41.78  -122.47    46.72    74.03
   KSJC    060113/0000      0.16    37.36  -121.92    45.40    61.52
   KSJX    060113/0000      0.13    45.69   -85.57   124.34    80.12
   KSKA    060113/0000      1.55    47.63  -117.65    59.68    88.98
   KSKF    060113/0000      0.01    29.38   -98.58    96.44    33.60
   KSKX    060113/0000      0.03    36.45  -105.67    81.05    53.98
   KSLB    060113/0000      0.80    42.60   -95.23   104.51    70.46
   KSLC    060113/0000      2.75    40.77  -111.97    68.48    67.51
   KSLE    060113/0000     11.36    44.92  -123.00    47.47    83.15
   KSLG    060113/0000      0.01    36.20   -94.48   106.17    52.35
   KSLH    060113/0000      0.27    45.65   -84.52   126.50    80.16
   KSLK    060113/0000      6.16    44.39   -74.20   148.11    78.96
   KSLN    060113/0000      0.09    38.80   -97.65    99.17    59.69
   KSMF    060113/0000      0.82    38.70  -121.60    46.83    65.08
   KSMN    060113/0000      1.76    45.12  -113.88    66.14    80.49
   KSMO    060113/0000      0.02    34.02  -118.45    51.40    50.93
   KSMP    060113/0000      4.59    47.28  -121.33    52.20    89.29
   KSMQ    060113/0000      3.45    40.62   -74.66   148.79    68.09
   KSMX    060113/0000      0.03    34.90  -120.45    47.33    54.15
   KSNA    060113/0000      0.02    33.67  -117.88    52.53    49.75
   KSNS    060113/0000      0.09    36.67  -121.60    45.72    59.49
   KSNT    060113/0000      1.13    44.17  -114.93    63.59    78.05
   KSNY    060113/0000      0.29    41.10  -102.98    87.85    66.67
   KSOP    060113/0000      0.10    35.23   -79.40   140.37    51.68
   KSPB    060113/0000      9.42    45.78  -122.84    48.31    85.55
   KSPG    060113/0000      0.19    27.77   -82.63   134.95    30.44
   KSPW    060113/0000      0.84    43.17   -95.15   104.69    72.11
   KSQL    060113/0000      0.18    37.52  -122.25    44.77    62.11
   KSRC    060113/0000      0.06    35.21   -91.74   112.41    49.67
   KSRQ    060113/0000      0.18    27.40   -82.55   135.23    29.45
   KSSC    060113/0000      0.03    33.97   -80.48   138.31    47.93
   KSSF    060113/0000      0.01    29.33   -98.48    96.68    33.46
   KSSI    060113/0000      0.04    31.15   -81.38   137.03    39.96
   KSTC    060113/0000      0.30    45.55   -94.07   106.91    79.04
   KSTE    060113/0000      0.04    44.55   -89.53   116.36    76.34
   KSTJ    060113/0000      0.21    39.77   -94.92   105.18    62.38
   KSTP    060113/0000      0.39    44.93   -93.06   109.02    77.25
   KSTS    060113/0000      0.75    38.50  -122.81    44.11    65.06
   KSUE    060113/0000      0.03    44.92   -87.41   120.70    77.63
   KSUN    060113/0000      0.86    43.50  -114.30    64.61    75.94
   KSUT    060113/0000      0.26    33.93   -78.07   143.82    48.46
   KSUU    060113/0000      0.51    38.27  -121.93    45.88    64.04
   KSUW    060113/0000      0.25    46.42   -92.07   110.97    81.66
   KSUX    060113/0000      0.59    42.40   -96.38   102.07    69.90
   KSVH    060113/0000      0.09    35.76   -80.96   136.70    52.76
   KSVN    060113/0000      0.01    32.02   -81.13   137.37    42.41
   KSWF    060113/0000      5.04    41.50   -74.10   149.60    70.75
   KSXT    060113/0000     13.10    42.62  -123.36    45.36    76.78
   KSYR    060113/0000      4.05    43.12   -76.11   144.69    74.73
   KSZL    060113/0000      0.02    38.72   -93.55   108.19    59.43
   KTAD    060113/0000      0.04    37.25  -104.33    84.20    56.00
   KTAN    060113/0000      8.66    41.87   -71.02   155.92    72.88
   KTBR    060113/0000      0.01    32.48   -81.74   135.83    43.53
   KTCL    060113/0000      0.01    33.23   -87.61   122.09    44.56
   KTCM    060113/0000      6.64    47.15  -122.48    49.85    89.37
   KTDF    060113/0000      0.12    36.28   -78.98   140.98    54.69
   KTDO    060113/0000      8.05    46.48  -122.80    48.81    87.56
   KTDZ    060113/0000      0.03    41.56   -83.47   129.66    68.53
   KTEB    060113/0000      4.47    40.85   -74.05   149.99    68.93
   KTEW    060113/0000      0.03    42.57   -84.42   127.40    71.25
   KTEX    060113/0000      0.53    37.95  -107.90    76.45    58.60
   KTHV    060113/0000      0.97    39.91   -76.87   144.33    65.41
   KTIW    060113/0000      6.75    47.27  -122.58    49.72    89.76
   KTKI    060113/0000      0.01    33.18   -96.59   101.32    43.98
   KTLH    060113/0000      0.27    30.38   -84.36   130.21    37.23
   KTMB    060113/0000      0.17    25.64   -80.43   140.88    25.17
   KTNB    060113/0000      0.06    36.20   -81.65   135.02    53.82
   KTNU    060113/0000      0.28    41.68   -93.02   109.24    67.85
   KTOA    060113/0000      0.02    33.80  -118.33    51.57    50.28
   KTOB    060113/0000      0.51    44.02   -92.83   109.53    74.60
   KTOI    060113/0000      0.16    31.85   -86.01   126.04    40.98
   KTOL    060113/0000      0.02    41.60   -83.80   128.94    68.58
   KTOP    060113/0000      0.14    39.07   -95.63   103.62    60.40
   KTOR    060113/0000      0.64    42.06  -104.15    85.52    69.57
   KTPA    060113/0000      0.21    27.97   -82.53   135.14    31.01
   KTPH    060113/0000      0.19    38.07  -117.08    56.33    61.55
   KTPL    060113/0000      0.01    31.15   -97.41    99.32    38.40
   KTQE    060113/0000      0.59    41.77   -96.18   102.48    68.09
   KTQH    060113/0000      0.01    35.93   -95.00   105.00    51.59
   KTRI    060113/0000      0.03    36.48   -82.40   133.27    54.44
   KTRK    060113/0000      0.86    39.31  -120.13    50.33    66.16
   KTRL    060113/0000      0.02    32.71   -96.26   102.07    42.67
   KTTA    060113/0000      0.12    35.58   -79.10   140.94    52.72
   KTTD    060113/0000      8.66    45.55  -122.41    49.04    84.71
   KTTF    060113/0000      0.03    41.94   -83.44   129.63    69.62
   KTTN    060113/0000      2.92    40.28   -74.82   148.59    67.08
   KTTS    060113/0000      0.24    28.62   -80.70   139.36    33.22
   KTVC    060113/0000      0.14    44.74   -85.57   124.54    77.34
   KTVF    060113/0000      2.16    48.07   -96.18   102.64    86.51
   KTVL    060113/0000      0.61    38.90  -120.00    50.39    64.97
   KTVR    060113/0000      0.02    32.35   -91.03   114.26    41.80
   KTWF    060113/0000      1.03    42.48  -114.48    63.82    73.08
   KTWM    060113/0000      0.50    47.05   -91.75   111.58    83.54
   KTXK    060113/0000      0.08    33.45   -94.00   107.31    44.71
   KTYR    060113/0000      0.03    32.37   -95.40   104.07    41.72
   KTZR    060113/0000      0.02    39.90   -83.13   130.80    63.88
   KUAO    060113/0000     10.19    45.25  -122.77    48.13    84.00
   KUCA    060113/0000      4.96    43.15   -75.38   146.20    75.03
   KUDG    060113/0000      0.06    34.45   -79.88   139.53    49.40
   KUIL    060113/0000      9.78    47.95  -124.55    46.27    92.57
   KUKF    060113/0000      0.07    36.21   -81.08   136.30    53.98
   KUKI    060113/0000      1.89    39.13  -123.20    43.63    66.98
   KULM    060113/0000      0.67    44.32   -94.50   106.04    75.44
   KUNO    060113/0000      0.01    36.88   -91.91   111.92    54.32
   KUNU    060113/0000      0.00    43.43   -88.69   118.26    73.17
   KUNV    060113/0000      1.05    40.85   -77.85   141.88    67.79
   KUTS    060113/0000      0.01    30.75   -95.58   103.63    37.26
   KUUU    060113/0000      8.03    41.53   -71.28   155.54    71.82
   KUZA    060113/0000      0.07    34.98   -81.06   136.70    50.58
   KVAD    060113/0000      0.17    30.97   -83.20   132.81    39.07
   KVAY    060113/0000      2.57    39.94   -74.84   148.69    66.12
   KVBG    060113/0000      0.03    34.72  -120.57    46.97    53.71
   KVBT    060113/0000      0.01    36.35   -94.22   106.76    52.77
   KVCB    060113/0000      0.60    38.38  -121.96    45.88    64.35
   KVCT    060113/0000      0.00    28.85   -96.92   100.39    32.07
   KVDF    060113/0000      0.23    28.01   -82.35   135.56    31.16
   KVDI    060113/0000      0.04    32.19   -82.37   134.44    42.59
   KVEL    060113/0000      2.33    40.45  -109.51    73.66    65.99
   KVIS    060113/0000      0.04    36.32  -119.40    50.39    57.61
   KVJI    060113/0000      0.03    36.68   -82.03   134.04    55.07
   KVLD    060113/0000      0.19    30.78   -83.28   132.66    38.53
   KVNY    060113/0000      0.01    34.22  -118.48    51.43    51.49
   KVOK    060113/0000      0.07    43.93   -90.26   114.91    74.48
   KVPC    060113/0000      0.00    34.12   -84.84   128.30    47.43
   KVPS    060113/0000      0.19    30.48   -86.52   125.08    37.14
   KVQQ    060113/0000      0.12    30.22   -81.88   136.11    37.30
   KVRB    060113/0000      0.29    27.65   -80.42   140.31    30.65
   KVSF    060113/0000      8.13    43.33   -72.52   152.07    76.48
   KVTA    060113/0000      0.05    40.02   -82.46   132.22    64.35
   KVTN    060113/0000      0.05    42.87  -100.55    93.28    71.48
   KVTP    060113/0000      0.16    37.50  -105.17    82.39    56.83
   KVUJ    060113/0000      0.09    35.42   -80.15   138.62    52.01
   KVUO    060113/0000      9.21    45.62  -122.65    48.60    85.01
   KVVG    060113/0000      0.22    28.96   -81.97   136.23    33.84
   KVVV    060113/0000      0.19    45.31   -96.43   102.05    78.35
   KVWU    060113/0000      2.20    48.15   -94.52   105.96    86.75
   KWAL    060113/0000      1.22    37.93   -75.47   148.15    60.30
   KWDR    060113/0000      0.01    33.98   -83.74   130.85    47.24
   KWLD    060113/0000      0.00    37.10   -97.00   100.53    54.89
   KWMC    060113/0000      1.05    40.90  -117.80    56.10    69.71
   KWRB    060113/0000      0.07    32.63   -83.60   131.48    43.55
   KWRI    060113/0000      2.90    40.02   -74.60   149.17    66.42
   KWRL    060113/0000      0.98    43.97  -107.97    77.94    75.72
   KWST    060113/0000      7.47    41.34   -71.79   154.56    71.10
   KWVI    060113/0000      0.11    36.93  -121.78    45.47    60.28
   KWWD    060113/0000      1.82    39.01   -74.92   148.90    63.49
   KXNA    060113/0000      0.01    36.28   -94.31   106.55    52.57
   KXVG    060113/0000      0.69    46.99   -94.20   106.62    83.29
   KXVW    060113/0000      0.03    34.72  -120.57    46.97    53.71
   KYIP    060113/0000      0.03    42.23   -83.53   129.37    70.43
   KYKM    060113/0000      3.10    46.57  -120.53    53.39    86.91
   KYKN    060113/0000      0.31    42.92   -97.38    99.97    71.43
   KYNG    060113/0000      0.30    41.27   -80.67   135.71    68.27
   KZZV    060113/0000      0.08    39.95   -81.90   133.45    64.27


